Bet #	Date	Bookmaker	Bet Type	League	Home Team	Away Team	Bet Placed	Odds	Stake	Live Bet?	Win	Bonus Bet?		 At Risk 	 Normalized Result 	Odds Probability	 Potential Payout 	 Potential Gain 	 Bet Result 		Notes
61	2/25/2023	DraftKings	3 Leg Parlay	NCAAM			See Below	251	$10.00	No	No	No		 $ 10.00 	-0.54	28%	 $ 35.10 	 $ 25.10 	 $ -   	 $ (10.00)	
	2/25/2023	DraftKings	     Leg	NCAAM	Purdue	Indiana	Purdue ML			No	No	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	2/25/2023	DraftKings	     Leg	NCAAM	Duke	Virginia Tech	Duke ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	2/25/2023	DraftKings	     Leg	NCAAM	Sam Houston	Southern Utah	Sam Houston ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
62	2/26/2023	DraftKings	Over / Under	NCAAM	Georgetown	Providence	Under 150.5	-115	$15.00	Yes	No	No		 $ 15.00 	-1.02	53%	 $ 28.04 	 $ 13.04 	 $ -   	 $ (15.00)	
63	2/26/2023	DraftKings	Winner (ML)	NCAAM	Penn State	Rutgers	Penn State ML	-165	$20.00	No	No	No		 $ 20.00 	-1.19	62%	 $ 32.12 	 $ 12.12 	 $ -   	 $ (20.00)	
64	2/28/2023	DraftKings	2 Leg Parlay	NCAAM			See Below	-101	$20.00	No	No	No		 $ 20.00 	-0.96	50%	 $ 39.80 	 $ 19.80 	 $ -   	 $ (20.00)	
65	2/28/2023	DraftKings	Winner (ML)	NCAAM	Virginia	Clemson	Virginia ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
66	2/28/2023	DraftKings	Winner (ML)	NCAAM	Indiana	Iowa	Indiana ML			No	No	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
67	2/28/2023	DraftKings	Winner (ML)	NCAAM	Indiana	Iowa	Indiana ML	-105	$10.00	Yes	No	No		 $ 10.00 	-0.98	51%	 $ 19.52 	 $ 9.52 	 $ -   	 $ (10.00)	
68	2/28/2023	DraftKings	2 Leg Parlay	NCAAM			See Below	-143	$20.00	No	Yes	No		 $ 20.00 	0.89	59%	 $ 33.99 	 $ 13.99 	 $ 33.99 	 $ 13.99 	
	2/28/2023	DraftKings	     Leg	NCAAM	Tennessee	Arkansas	Tennessee ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	2/28/2023	DraftKings	     Leg	NCAAM	Kansas	Texas Tech	Kansas ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
69	3/1/2023	DraftKings	Winner (ML)	NCAAM	SF Austin	Sam Houston	Sam Houston ML	-125	$15.00	No	Yes	No		 $ 15.00 	0.94	56%	 $ 27.00 	 $ 12.00 	 $ 27.00 	 $ 12.00 	
70	3/1/2023	DraftKings	3 Leg Parlay	NCAAM			See Below	584	$10.00	No	No	No		 $ 10.00 	-0.28	15%	 $ 68.40 	 $ 58.40 	 $ -   	 $ (10.00)	
	3/1/2023	DraftKings	     Leg	NCAAM	TCU	Texas	Texas +3.5			No	No	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/1/2023	DraftKings	     Leg	NCAAM	Ohio State	Maryland	Maryland ML			No	No	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/1/2023	DraftKings	     Leg	NCAAM	Providence	Xavier	Xavier +5.5			No	No	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
71	3/1/2023	DraftKings	Winner (ML)	NCAAM	Providence	Xavier	Xavier Ml	145	$10.00	No	Yes	No		 $ 10.00 	1.28	41%	 $ 24.50 	 $ 14.50 	 $ 24.50 	 $ 14.50 	
72	3/1/2023	DraftKings	Prop	NCAAM	Providence	Xavier	Jack Nunge Over 7.5 Boards	-130	$10.00	No	Yes	No		 $ 10.00 	0.93	57%	 $ 17.69 	 $ 7.69 	 $ 17.69 	 $ 7.69 	
73	3/1/2023	DraftKings	3 Leg Parlay	NCAAM			See Below	-167	$20.00	No	No	No		 $ 20.00 	-1.19	63%	 $ 31.98 	 $ 11.98 	 $ -   	 $ (20.00)	
	3/1/2023	DraftKings	     Leg	NCAAM	Kansas St	Oklahoma	Kansas St			No	No	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/1/2023	DraftKings	     Leg	NCAAM	Kentucky	Vanderbilt	Kentucky ML			No	No	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/1/2023	DraftKings	     Leg	NCAAM	Connecticut	Depaul	Connecticut ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
74	3/2/2023	DraftKings	3 Leg Parlay	NCAAM			See Below	-130	$20.00	No	Yes	No		 $ 20.00 	0.93	57%	 $ 35.38 	 $ 15.38 	 $ 35.38 	 $ 15.38 	
	3/2/2023	DraftKings	     Leg	NCAAM	Youngstown State	Detroit Mercy	Youngstown State ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/2/2023	DraftKings	     Leg	NCAAM	UCLA	Arizona State	UCLA ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/2/2023	DraftKings	     Leg	NCAAM	Grambling	Alabama A&M	Grambling ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
75	3/3/2023	DraftKings	2 Leg Parlay	NCAAM			See Below	-169	$20.00	No	Yes	No		 $ 20.00 	0.83	63%	 $ 31.83 	 $ 11.83 	 $ 31.83 	 $ 11.83 	
	3/3/2023	DraftKings	     Leg	NCAAM	Sam Houston	Abilene Christian	Sam Houston ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/3/2023	DraftKings	     Leg	NCAAM	Ohio	Bowling Green	Ohio ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
76	3/4/2023	DraftKings	Spread	Premier League	Aston Villa	Crystal Palace	Crystal Palace +.5	-140	$20.00	No	No	No		 $ 20.00 	-1.11	58%	 $ 34.29 	 $ 14.29 	 $ -   	 $ (20.00)	
77	3/4/2023	DraftKings	Winner (ML)	NCAAM	Texas A&M	Alabama	Alabama ML	265	$10.00	Yes	No	No		 $ 10.00 	-0.52	27%	 $ 36.50 	 $ 26.50 	 $ -   	 $ (10.00)	
78	3/4/2023	DraftKings	3 Leg Parlay	NCAAM			See Below	152	$20.00	No	No	No		 $ 20.00 	-0.76	40%	 $ 50.40 	 $ 30.40 	 $ -   	 $ (20.00)	
	3/4/2023	DraftKings	     Leg	NCAAM	Providence	Seton Hall	Providence ML			No	No	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/4/2023	DraftKings	     Leg	NCAAM	Baylor	Iowa St	Baylor ML			No	No	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/4/2023	DraftKings	     Leg	NCAAM	Michigan State	Ohio State	Michigan State ML			No	No	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
79	3/4/2023	DraftKings	2 Leg Parlay	NCAAM			See Below	-159	$20.00	No	Yes	No		 $ 20.00 	0.85	61%	 $ 32.58 	 $ 12.58 	 $ 32.58 	 $ 12.58 	
	3/4/2023	DraftKings	     Leg	NCAAM	Oregon	Stanford	Oregon ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/4/2023	DraftKings	     Leg	NCAAM	Missouri	Ole Miss	Missouri ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
80	3/4/2023	DraftKings	3 Leg Parlay	NCAAM			See Below	-159	$20.00	No	Yes	No		 $ 20.00 	0.85	61%	 $ 32.58 	 $ 12.58 	 $ 32.58 	 $ 12.58 	
	3/4/2023	DraftKings	     Leg	NCAAM	Grambling	Alabama St	Grambling ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/4/2023	DraftKings	     Leg	NCAAM	Miami FL	Pittsburgh	Miami FL ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/4/2023	DraftKings	     Leg	NCAAM	Xavier	Butler	Xavier ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
81	3/4/2023	DraftKings	Prop	NCAAM	Xavier	Butler	Nunge Over 8 Boards	-110	$10.00	No	No	No		 $ 10.00 	-1.00	52%	 $ 19.09 	 $ 9.09 	 $ -   	 $ (10.00)	
82	3/4/2023	DraftKings	Prop	NCAAM	Xavier	Butler	Kunkel Over 10.5 Points	-120	$10.00	No	Yes	No		 $ 10.00 	0.96	55%	 $ 18.33 	 $ 8.33 	 $ 18.33 	 $ 8.33 	
83	3/4/2023	DraftKings	3 Leg Parlay	NCAAM			See Below	-141	$20.00	No	Yes	No		 $ 20.00 	0.90	59%	 $ 34.18 	 $ 14.18 	 $ 34.18 	 $ 14.18 	
	3/4/2023	DraftKings	     Leg	NCAAM	Oregon State	California	Oregon State ML			Yes	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/4/2023	DraftKings	     Leg	NCAAM	Clemson	Notre Dame	Clemson ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/4/2023	DraftKings	     Leg	NCAAM	Xavier	Butler	Xavier ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
84	3/4/2023	DraftKings	Winner (ML)	NCAAM	Oregon State	California	Oregon State ML	-144.2	$10.00	Yes	Yes	No		 $ 10.00 	0.89	59%	 $ 16.93 	 $ 6.93 	 $ 16.93 	 $ 6.93 	
85	3/5/2023	DraftKings	3 Leg Parlay	NCAAM			See Below	-195	$15.00	No	No	No		 $ 15.00 	-1.26	66%	 $ 22.69 	 $ 7.69 	 $ -   	 $ (15.00)	
	3/5/2023	DraftKings	     Leg	NCAAM	Indiana	Michigan	Trey galloway Over 4.5 Points			No	No	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/5/2023	DraftKings	     Leg	NCAAM	Indiana	Michigan	TJD Over 2 Assists			No	No	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/5/2023	DraftKings	     Leg	NCAAM	Indiana	Michigan	TJD Over 7.5 Rebounds			No	No	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
86	3/5/2023	DraftKings	Prop	NCAAM	Indiana	Michigan	Trey Galloway Over 8.5 Points	110	$15.00	No	No	No		 $ 15.00 	-0.91	48%	 $ 31.50 	 $ 16.50 	 $ -   	 $ (15.00)	
87	3/6/2023	DraftKings	2 Leg Parlay	NCAAM			See Below	138	$20.00	No	No	No		 $ 20.00 	-0.80	42%	 $ 47.60 	 $ 27.60 	 $ -   	 $ (20.00)	
	3/6/2023	DraftKings	     Leg	NCAAM	Charleston	Towson	Charleston ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/6/2023	DraftKings	     Leg	NCAAM	Youngstown State	Northern Kentucky	Youngstown State ML			No	No	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
88	3/6/2023	DraftKings	Winner (ML)	NCAAM	Raging Cajuns	South Alabama	Raging Cajuns ML	115	$15.00	Yes	Yes	No		 $ 15.00 	1.13	47%	 $ 32.25 	 $ 17.25 	 $ 32.25 	 $ 17.25 	Mid Major Madness
89	3/6/2023	DraftKings	Winner (ML)	NCAAM	Raging Cajuns	South Alabama	Raging Cajuns ML	125	$10.00	Yes	Yes	No		 $ 10.00 	1.18	44%	 $ 22.50 	 $ 12.50 	 $ 22.50 	 $ 12.50 	
90	3/6/2023	DraftKings	2 Leg Parlay	NCAAM			See Below	-106	$20.00	No	Yes	No		 $ 20.00 	1.02	51%	 $ 38.87 	 $ 18.87 	 $ 38.87 	 $ 18.87 	
	3/6/2023	DraftKings	     Leg	NCAAM	Charleston	Towson	Charleston ML			Yes	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/6/2023	DraftKings	     Leg	NCAAM	Saint Marys	BYU	Saint Marys ML			Yes	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
91	3/6/2023	DraftKings	Winner (ML)	NCAAM	Charleston	Towson	Charleston ML	120	$10.00	Yes	Yes	No		 $ 10.00 	1.15	45%	 $ 22.00 	 $ 12.00 	 $ 22.00 	 $ 12.00 	
92	3/7/2023	DraftKings	Winner (ML)	NCAAM	St Josephs	Loyola Chicago	St Joes ML	100	$10.00	No	Yes	No		 $ 10.00 	1.05	50%	 $ 20.00 	 $ 10.00 	 $ 20.00 	 $ 10.00 	
93	3/7/2023	DraftKings	3 Leg Parlay	NCAAM			See Below	283	$10.00	No	Yes	No		 $ 10.00 	2.01	26%	 $ 38.30 	 $ 28.30 	 $ 38.30 	 $ 28.30 	
	3/7/2023	DraftKings	     Leg	NCAAM	Georgia Tech	Florida State	Georgia Tech ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/7/2023	DraftKings	     Leg	NCAAM	Boston College 	Louisville	Boston College ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/7/2023	DraftKings	     Leg	NCAAM	Virginia Tech	Notre Dame	Virginia Tech -1.5			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
94	3/7/2023	DraftKings	Spread	Champions League	Chelsea	Dortmund	Dortmund +.5	137	$10.00	No	No	No		 $ 10.00 	-0.81	42%	 $ 23.70 	 $ 13.70 	 $ -   	 $ (10.00)	
95	3/7/2023	DraftKings	Over / Under	Champions League	Chelsea	Dortmund	Chelsea Under 1.5 Goals	137	$10.00	No	No	No		 $ 10.00 	-0.81	42%	 $ 23.70 	 $ 13.70 	 $ -   	 $ (10.00)	
96	3/7/2023	DraftKings	Winner (ML)	NCAAM	Boston College 	Louisville	Boston College ML	-150	$10.00	Yes	Yes	No		 $ 10.00 	0.87	60%	 $ 16.67 	 $ 6.67 	 $ 16.67 	 $ 6.67 	
97	3/7/2023	DraftKings	Over / Under	NCAAM	Gonzaga	St Marys	Over 129	-110	$10.00	Yes	No	No		 $ 10.00 	-1.00	52%	 $ 19.09 	 $ 9.09 	 $ -   	 $ (10.00)	
98	3/8/2023	DraftKings	2 Leg Parlay	NCAAM			See Below	116	$20.00	No	Yes	No		 $ 20.00 	1.13	46%	 $ 43.20 	 $ 23.20 	 $ 43.20 	 $ 23.20 	
	3/8/2023	DraftKings	     Leg	NCAAM	Richmond	George Mason	George Mason ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/8/2023	DraftKings	     Leg	NCAAM	Georgia Tech	Pittsburgh	Pittsburgh ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
99	3/8/2023	DraftKings	2 Leg Parlay	NCAAM			See Below	134	$20.00	No	No	No		 $ 20.00 	-0.82	43%	 $ 46.80 	 $ 26.80 	 $ -   	 $ (20.00)	
	3/8/2023	DraftKings	     Leg	NCAAM	Wisconsin	Ohio State	Wisconsin ML			No	No	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/8/2023	DraftKings	     Leg	NCAAM	Villanova	Georgetown	Villanova ML			No	No	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
100	3/8/2023	DraftKings	2 Leg Parlay	NCAAM			See Below	-108	$20.00	No	Yes	No		 $ 20.00 	1.01	52%	 $ 38.52 	 $ 18.52 	 $ 38.52 	 $ 18.52 	
	3/8/2023	DraftKings	     Leg	NCAAM	Villanova	Georgetown	Villanova ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/8/2023	DraftKings	     Leg	NCAAM	Nc State	Virginia Tech	NC State ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
101	3/9/2023	DraftKings	3 Leg Parlay	NCAAM			See Below	121	$20.00	No	Yes	No		 $ 20.00 	1.16	45%	 $ 44.20 	 $ 24.20 	 $ 44.20 	 $ 24.20 	
	3/9/2023	DraftKings	     Leg	NCAAM	Miami FL	Wake Forest	Miami FL ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/9/2023	DraftKings	     Leg	NCAAM	VCU	Davidson	VCU ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/9/2023	DraftKings	     Leg	NCAAM	Marquette 	St Johns	Marquette ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
102	3/9/2023	DraftKings	2 Leg Parlay	NCAAM			See Below	-104	$20.00	No	Yes	No		 $ 20.00 	1.03	51%	 $ 39.23 	 $ 19.23 	 $ 39.23 	 $ 19.23 	
	3/9/2023	DraftKings	     Leg	NCAAM	Boise St	UNLV	Boise St ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/9/2023	DraftKings	     Leg	NCAAM	Sam Houston	California Baptist	Sam Houston ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
103	3/9/2023	DraftKings	4+ Parlay	NCAAM			See Below	334	$20.00	No	No	No		 $ 20.00 	-0.44	23%	 $ 86.80 	 $ 66.80 	 $ -   	 $ (20.00)	
	3/9/2023	DraftKings	     Leg	NCAAM	UCLA	Colorado	UCLA ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/9/2023	DraftKings	     Leg	NCAAM	Kansas	West Virginia	Kansas ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/9/2023	DraftKings	     Leg	NCAAM	Duke	Pittsburgh	Duke ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/9/2023	DraftKings	     Leg	NCAAM	Baylor	Iowa State	Baylor ML			No	No	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
104	3/9/2023	DraftKings	Winner (ML)	NCAAM	Marquette	St. John's	Marquettee ML	155	$10.00	Yes	Yes	No		 $ 10.00 	1.34	39%	 $ 25.50 	 $ 15.50 	 $ 25.50 	 $ 15.50 	
105	3/9/2023	DraftKings	Over / Under	NCAAM	UCONN	Providence	Providence +19	-115	$10.00	Yes	Yes	No		 $ 10.00 	0.98	53%	 $ 18.70 	 $ 8.70 	 $ 18.70 	 $ 8.70 	
106	3/9/2023	DraftKings	2 Leg Parlay	NCAAM			See Below	242	$10.00	No	No	No		 $ 10.00 	-0.56	29%	 $ 34.20 	 $ 24.20 	 $ -   	 $ (10.00)	
	3/9/2023	DraftKings	     Leg	NCAAM	North Carolina	Virginia	Virginia ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/9/2023	DraftKings	     Leg	NCAAM	NC State	Clemson	NC State ML			No	No	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
107	3/9/2023	DraftKings	Spread	NCAAM	Xavier	Depaul	Xavier -12	-115	$20.00	No	No	No		 $ 20.00 	-1.02	53%	 $ 37.39 	 $ 17.39 	 $ -   	 $ (20.00)	
108	3/9/2023	DraftKings	Winner (ML)	NCAAM	Kansas State	TCU	Kansas St ML	115	$15.00	No	No	No		 $ 15.00 	-0.89	47%	 $ 32.25 	 $ 17.25 	 $ -   	 $ (13.30)	Cashed out $1.70
109	3/9/2023	DraftKings	Winner (ML)	NCAAM	Xavier	Depaul	Xavier ML	-210	$30.00	Yes	Yes	No		 $ 30.00 	0.77	68%	 $ 44.29 	 $ 14.29 	 $ 44.29 	 $ 14.29 	
110	3/9/2023	DraftKings	Winner (ML)	NCAAM	Xavier	Depaul	Xavier ML	-135	$10.00	Yes	Yes	No		 $ 10.00 	0.91	57%	 $ 17.41 	 $ 7.41 	 $ 17.41 	 $ 7.41 	
111	3/10/2023	DraftKings	2 Leg Parlay	NCAAM			See Below	112	$20.00	No	Yes	No		 $ 20.00 	1.11	47%	 $ 42.40 	 $ 22.40 	 $ 42.40 	 $ 22.40 	
	3/10/2023	DraftKings	     Leg	NCAAM	Cincinnati	Temple	Cincinnati ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/10/2023	DraftKings	     Leg	NCAAM	Toledo	Ohio	Toledo ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
112	3/10/2023	DraftKings	2 Leg Parlay	NCAAM			See Below	134	$20.00	No	No	No		 $ 20.00 	-0.82	43%	 $ 46.80 	 $ 26.80 	 $ -   	 $ (20.00)	
	3/10/2023	DraftKings	     Leg	NCAAM	Sam Houston St	Grand Canyon	Sam Houston St ML			No	No	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/10/2023	DraftKings	     Leg	NCAAM	Grambling St	Jackson St	Grambling ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
113	3/10/2023	DraftKings	Winner (ML)	NCAAM	Xavier	Creighton	Xavier ML	145	$10.00	No	Yes	No		 $ 10.00 	1.28	41%	 $ 24.50 	 $ 14.50 	 $ 24.50 	 $ 14.50 	
114	3/10/2023	DraftKings	2 Leg Parlay	NCAAM			See Below	118.5	$20.00	No	Yes	No		 $ 20.00 	1.14	46%	 $ 43.70 	 $ 23.70 	 $ 43.70 	 $ 23.70 	
	3/10/2023	DraftKings	     Leg	NCAAM	UCLA	Oregon	UCLA ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/10/2023	DraftKings	     Leg	NCAAM	Kansas	Iowa St	Kansas ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
115	3/10/2023	DraftKings	2 Leg Parlay	NCAAM			See Below	125.5	$20.00	No	Yes	No		 $ 20.00 	1.18	44%	 $ 45.10 	 $ 25.10 	 $ 45.10 	 $ 25.10 	
	3/10/2023	DraftKings	     Leg	NCAAM	Texas	TCU	Texas ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/10/2023	DraftKings	     Leg	NCAAM	Arizona	Arizona St	Arizona ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
116	3/10/2023	DraftKings	Winner (ML)	NCAAM	Kentucky	Vanderbilt	Kentucky ML	200	$5.00	Yes	No	No		 $ 5.00 	-0.64	33%	 $ 15.00 	 $ 10.00 	 $ -   	 $ (5.00)	
117	3/10/2023	DraftKings	2 Leg Parlay	NCAAM			See Below	-113	$20.00	No	Yes	No		 $ 20.00 	0.99	53%	 $ 37.70 	 $ 17.70 	 $ 37.70 	 $ 17.70 	
	3/10/2023	DraftKings	     Leg	NCAAM	Vermont	UMass Lowell	Vermont ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/10/2023	DraftKings	     Leg	NCAAM	Yale	Cornell	Yale ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
118	3/11/2023	DraftKings	Winner (ML)	NCAAM	Xavier	Marquette	Xavier ML	110	$10.00	No	No	No		 $ 10.00 	-0.91	48%	 $ 21.00 	 $ 11.00 	 $ -   	 $ (10.00)	
119	3/11/2023	DraftKings	2 Leg Parlay	NCAAM			See Below	167	$20.00	No	No	No		 $ 20.00 	-0.72	37%	 $ 53.40 	 $ 33.40 	 $ -   	 $ (20.00)	need exact odds
	3/11/2023	DraftKings	     Leg	NCAAM	Grambling	Texas Southern	Grambling ML			No	No	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/11/2023	DraftKings	     Leg	NCAAM	Kansas	Texas	Kansas ML			No	No	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
120	3/11/2023	DraftKings	Winner (ML)	NCAAM	Duke	UVA	UVA ML	135	$10.00	No	No	No		 $ 10.00 	-0.81	43%	 $ 23.50 	 $ 13.50 	 $ -   	 $ (10.00)	
121	3/11/2023	DraftKings	Winner (ML)	NCAAM	Penn State	Indiana	Indiana ML	126	$20.00	Yes	No	No		 $ 20.00 	-0.84	44%	 $ 45.20 	 $ 25.20 	 $ -   	 $ (20.00)	
122	3/11/2023	DraftKings	Winner (ML)	NCAAM	Xavier	Marquette	Xavier ML	571	$10.00	Yes	No	No		 $ 10.00 	-0.28	15%	 $ 67.10 	 $ 57.10 	 $ -   	 $ (10.00)	
123	3/11/2023	DraftKings	Spread	NCAAM	Xavier	Marquette	Marquette -16.5	-130	$13.00	Yes	No	No		 $ 13.00 	-1.08	57%	 $ 23.00 	 $ 10.00 	 $ -   	 $ (13.00)	
124	3/11/2023	DraftKings	Winner (ML)	NCAAM	Arizona	UCLA	UCLA ML	139	$15.00	Yes	No	No		 $ 15.00 	-0.80	42%	 $ 35.85 	 $ 20.85 	 $ -   	 $ (15.00)	
125	3/12/2023	DraftKings	2 Leg Parlay	NCAAM			See Below	-119	$20.00	No	No	No		 $ 20.00 	-1.04	54%	 $ 36.81 	 $ 16.81 	 $ -   	 $ (20.00)	
	3/12/2023	DraftKings	     Leg	NCAAM	Memphis	Houston	Houston ML			No	No	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/12/2023	DraftKings	     Leg	NCAAM	Penn State	Purdue	Purdue ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
126	3/12/2023	DraftKings	Winner (ML)	NCAAM	Texas AM	Alabama	Alabama ML	-158	$20.00	No	Yes	No		 $ 20.00 	0.86	61%	 $ 32.66 	 $ 12.66 	 $ 32.66 	 $ 12.66 	
127	3/12/2023	DraftKings	Prop	NCAAM	NC State		NC State makes Tourney	-173	$40.00	No	Yes	No		 $ 40.00 	0.83	63%	 $ 63.12 	 $ 23.12 	 $ 63.12 	 $ 23.12 	
128	3/13/2023	DraftKings	Prop	Other			Best Picture	150	$10.00	No	Yes	No		 $ 10.00 	1.31	40%	 $ 25.00 	 $ 15.00 	 $ 25.00 	 $ 15.00 	
129	3/14/2023	DraftKings	Winner (ML)	NCAAM	Pitt	Miss St	Miss St ML	-109	$20.00	Yes	No	No		 $ 20.00 	-1.00	52%	 $ 38.35 	 $ 18.35 	 $ -   	 $ (20.00)	
130	3/15/2023	DraftKings	Over / Under	Champions League	Brighton	Crystal Palace	No to both teams to score	-149	$20.00	No	Yes	No		 $ 20.00 	0.88	60%	 $ 33.42 	 $ 13.42 	 $ 33.42 	 $ 13.42 	
131	3/16/2023	Barstool	Winner (ML)	NCAAM	West Virginia	Maryland	West Virginia ML	133	$10.00	Yes	No	No		 $ 10.00 	-0.82	43%	 $ 23.30 	 $ 13.30 	 $ -   	 $ (10.00)	
132	3/16/2023	DraftKings	Winner (ML)	NCAAM	Charleston	San Diego St	Charleston ML	215	$10.00	Yes	No	No		 $ 10.00 	-0.61	32%	 $ 31.50 	 $ 21.50 	 $ -   	 $ (10.00)	
133	3/16/2023	DraftKings	Winner (ML)	NCAAM	Charleston	San Diego St	Charleston +6.5	-129	$20.00	Yes	Yes	No		 $ 20.00 	0.93	56%	 $ 35.50 	 $ 15.50 	 $ 35.50 	 $ 15.50 	
134	3/16/2023	DraftKings	2 Leg Parlay	NCAAM			See Below	193	$20.00	No	No	No		 $ 20.00 	-0.65	34%	 $ 58.60 	 $ 38.60 	 $ -   	 $ (20.00)	
	3/16/2023	DraftKings	     Leg	NCAAM	Duke	Oral Roberts	Duke ML			No	Yes	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
	3/16/2023	DraftKings	     Leg	NCAAM	Iowa	Auburn	Iowa ML			No	No	No				0%	 $ -   	 $ -   	 $ -   	 $ -   	
135	3/16/2023	DraftKings	Winner (ML)	NCAAM	Texas AM	Penn State	Texas AM	100	$50.00	Yes	No	No		 $ 50.00 	-0.95	50%	 $ 100.00 	 $ 50.00 	 $ -   	 $ (50.00)	
136	3/16/2023	DraftKings	Winner (ML)	NCAAM	Houston	Northern Kentucky	Houston -13.5	-120	$20.00	Yes	No	No		 $ 20.00 	-1.04	55%	 $ 36.67 	 $ 16.67 	 $ -   	 $ (20.00)	
